ProfileID,DemoID,Age,Gender,Income,Region,Age_L,Gender_code,Inc_L,Inc_Q,Region_code,Region_text,B5ID,O,C,E,A,N
P001,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B01,-1,-1,-1,-1,1
P002,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B02,-1,-1,-1,1,-1
P003,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B03,-1,-1,1,-1,-1
P004,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B04,-1,-1,1,1,1
P005,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B05,-1,1,-1,-1,-1
P006,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B06,-1,1,-1,1,1
P007,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B07,-1,1,1,-1,1
P008,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B08,-1,1,1,1,-1
P009,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B09,1,-1,-1,-1,-1
P010,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B10,1,-1,-1,1,1
P011,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B11,1,-1,1,-1,1
P012,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B12,1,-1,1,1,-1
P013,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B13,1,1,-1,-1,1
P014,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B14,1,1,-1,1,-1
P015,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B15,1,1,1,-1,-1
P016,D01,25,Male,25000,USA,-1,-1,-1,1,-1,the United States,B16,1,1,1,1,1
P017,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B01,-1,-1,-1,-1,1
P018,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B02,-1,-1,-1,1,-1
P019,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B03,-1,-1,1,-1,-1
P020,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B04,-1,-1,1,1,1
P021,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B05,-1,1,-1,-1,-1
P022,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B06,-1,1,-1,1,1
P023,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B07,-1,1,1,-1,1
P024,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B08,-1,1,1,1,-1
P025,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B09,1,-1,-1,-1,-1
P026,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B10,1,-1,-1,1,1
P027,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B11,1,-1,1,-1,1
P028,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B12,1,-1,1,1,-1
P029,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B13,1,1,-1,-1,1
P030,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B14,1,1,-1,1,-1
P031,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B15,1,1,1,-1,-1
P032,D02,25,Male,25000,Japan,-1,-1,-1,1,1,Japan,B16,1,1,1,1,1
P033,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B01,-1,-1,-1,-1,1
P034,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B02,-1,-1,-1,1,-1
P035,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B03,-1,-1,1,-1,-1
P036,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B04,-1,-1,1,1,1
P037,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B05,-1,1,-1,-1,-1
P038,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B06,-1,1,-1,1,1
P039,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B07,-1,1,1,-1,1
P040,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B08,-1,1,1,1,-1
P041,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B09,1,-1,-1,-1,-1
P042,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B10,1,-1,-1,1,1
P043,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B11,1,-1,1,-1,1
P044,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B12,1,-1,1,1,-1
P045,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B13,1,1,-1,-1,1
P046,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B14,1,1,-1,1,-1
P047,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B15,1,1,1,-1,-1
P048,D03,25,Male,65000,USA,-1,-1,0,-2,-1,the United States,B16,1,1,1,1,1
P049,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B01,-1,-1,-1,-1,1
P050,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B02,-1,-1,-1,1,-1
P051,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B03,-1,-1,1,-1,-1
P052,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B04,-1,-1,1,1,1
P053,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B05,-1,1,-1,-1,-1
P054,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B06,-1,1,-1,1,1
P055,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B07,-1,1,1,-1,1
P056,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B08,-1,1,1,1,-1
P057,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B09,1,-1,-1,-1,-1
P058,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B10,1,-1,-1,1,1
P059,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B11,1,-1,1,-1,1
P060,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B12,1,-1,1,1,-1
P061,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B13,1,1,-1,-1,1
P062,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B14,1,1,-1,1,-1
P063,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B15,1,1,1,-1,-1
P064,D04,25,Male,65000,Japan,-1,-1,0,-2,1,Japan,B16,1,1,1,1,1
P065,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B01,-1,-1,-1,-1,1
P066,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B02,-1,-1,-1,1,-1
P067,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B03,-1,-1,1,-1,-1
P068,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B04,-1,-1,1,1,1
P069,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B05,-1,1,-1,-1,-1
P070,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B06,-1,1,-1,1,1
P071,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B07,-1,1,1,-1,1
P072,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B08,-1,1,1,1,-1
P073,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B09,1,-1,-1,-1,-1
P074,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B10,1,-1,-1,1,1
P075,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B11,1,-1,1,-1,1
P076,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B12,1,-1,1,1,-1
P077,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B13,1,1,-1,-1,1
P078,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B14,1,1,-1,1,-1
P079,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B15,1,1,1,-1,-1
P080,D05,25,Male,120000,USA,-1,-1,1,1,-1,the United States,B16,1,1,1,1,1
P081,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B01,-1,-1,-1,-1,1
P082,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B02,-1,-1,-1,1,-1
P083,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B03,-1,-1,1,-1,-1
P084,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B04,-1,-1,1,1,1
P085,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B05,-1,1,-1,-1,-1
P086,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B06,-1,1,-1,1,1
P087,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B07,-1,1,1,-1,1
P088,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B08,-1,1,1,1,-1
P089,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B09,1,-1,-1,-1,-1
P090,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B10,1,-1,-1,1,1
P091,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B11,1,-1,1,-1,1
P092,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B12,1,-1,1,1,-1
P093,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B13,1,1,-1,-1,1
P094,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B14,1,1,-1,1,-1
P095,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B15,1,1,1,-1,-1
P096,D06,25,Male,120000,Japan,-1,-1,1,1,1,Japan,B16,1,1,1,1,1
P097,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B01,-1,-1,-1,-1,1
P098,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B02,-1,-1,-1,1,-1
P099,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B03,-1,-1,1,-1,-1
P100,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B04,-1,-1,1,1,1
P101,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B05,-1,1,-1,-1,-1
P102,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B06,-1,1,-1,1,1
P103,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B07,-1,1,1,-1,1
P104,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B08,-1,1,1,1,-1
P105,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B09,1,-1,-1,-1,-1
P106,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B10,1,-1,-1,1,1
P107,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B11,1,-1,1,-1,1
P108,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B12,1,-1,1,1,-1
P109,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B13,1,1,-1,-1,1
P110,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B14,1,1,-1,1,-1
P111,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B15,1,1,1,-1,-1
P112,D07,25,Female,25000,USA,-1,1,-1,1,-1,the United States,B16,1,1,1,1,1
P113,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B01,-1,-1,-1,-1,1
P114,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B02,-1,-1,-1,1,-1
P115,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B03,-1,-1,1,-1,-1
P116,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B04,-1,-1,1,1,1
P117,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B05,-1,1,-1,-1,-1
P118,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B06,-1,1,-1,1,1
P119,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B07,-1,1,1,-1,1
P120,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B08,-1,1,1,1,-1
P121,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B09,1,-1,-1,-1,-1
P122,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B10,1,-1,-1,1,1
P123,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B11,1,-1,1,-1,1
P124,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B12,1,-1,1,1,-1
P125,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B13,1,1,-1,-1,1
P126,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B14,1,1,-1,1,-1
P127,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B15,1,1,1,-1,-1
P128,D08,25,Female,25000,Japan,-1,1,-1,1,1,Japan,B16,1,1,1,1,1
P129,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B01,-1,-1,-1,-1,1
P130,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B02,-1,-1,-1,1,-1
P131,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B03,-1,-1,1,-1,-1
P132,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B04,-1,-1,1,1,1
P133,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B05,-1,1,-1,-1,-1
P134,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B06,-1,1,-1,1,1
P135,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B07,-1,1,1,-1,1
P136,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B08,-1,1,1,1,-1
P137,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B09,1,-1,-1,-1,-1
P138,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B10,1,-1,-1,1,1
P139,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B11,1,-1,1,-1,1
P140,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B12,1,-1,1,1,-1
P141,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B13,1,1,-1,-1,1
P142,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B14,1,1,-1,1,-1
P143,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B15,1,1,1,-1,-1
P144,D09,25,Female,65000,USA,-1,1,0,-2,-1,the United States,B16,1,1,1,1,1
