ProfileID,DemoID,B5ID,ScenarioID,Version
P012,D01,B12,S1,V1
P010,D01,B10,S1,V1
P005,D01,B05,S1,V1
P011,D01,B11,S1,V1
P015,D01,B15,S1,V2
P004,D01,B04,S1,V2
P008,D01,B08,S1,V2
P006,D01,B06,S1,V2
P001,D01,B01,S1,V3
P014,D01,B14,S1,V3
P009,D01,B09,S1,V3
P016,D01,B16,S1,V3
P007,D01,B07,S1,V4
P002,D01,B02,S1,V4
P013,D01,B13,S1,V4
P003,D01,B03,S1,V4
P028,D02,B12,S1,V1
P031,D02,B15,S1,V1
P025,D02,B09,S1,V1
P029,D02,B13,S1,V1
P024,D02,B08,S1,V2
P022,D02,B06,S1,V2
P019,D02,B03,S1,V2
P026,D02,B10,S1,V2
P021,D02,B05,S1,V3
P027,D02,B11,S1,V3
P032,D02,B16,S1,V3
P018,D02,B02,S1,V3
P020,D02,B04,S1,V4
P023,D02,B07,S1,V4
P017,D02,B01,S1,V4
P030,D02,B14,S1,V4
P048,D03,B16,S1,V1
P034,D03,B02,S1,V1
P045,D03,B13,S1,V1
P047,D03,B15,S1,V1
P042,D03,B10,S1,V2
P044,D03,B12,S1,V2
P043,D03,B11,S1,V2
P038,D03,B06,S1,V2
P046,D03,B14,S1,V3
P036,D03,B04,S1,V3
P033,D03,B01,S1,V3
P039,D03,B07,S1,V3
P041,D03,B09,S1,V4
P035,D03,B03,S1,V4
P040,D03,B08,S1,V4
P037,D03,B05,S1,V4
P062,D04,B14,S1,V1
P052,D04,B04,S1,V1
P054,D04,B06,S1,V1
P058,D04,B10,S1,V1
P049,D04,B01,S1,V2
P060,D04,B12,S1,V2
P064,D04,B16,S1,V2
P051,D04,B03,S1,V2
P056,D04,B08,S1,V3
P057,D04,B09,S1,V3
P063,D04,B15,S1,V3
P061,D04,B13,S1,V3
P053,D04,B05,S1,V4
P055,D04,B07,S1,V4
P059,D04,B11,S1,V4
P050,D04,B02,S1,V4
P068,D05,B04,S1,V1
P079,D05,B15,S1,V1
P067,D05,B03,S1,V1
P078,D05,B14,S1,V1
P080,D05,B16,S1,V2
P077,D05,B13,S1,V2
P072,D05,B08,S1,V2
P074,D05,B10,S1,V2
P075,D05,B11,S1,V3
P073,D05,B09,S1,V3
P065,D05,B01,S1,V3
P076,D05,B12,S1,V3
P070,D05,B06,S1,V4
P069,D05,B05,S1,V4
P071,D05,B07,S1,V4
P066,D05,B02,S1,V4
P086,D06,B06,S1,V1
P083,D06,B03,S1,V1
P096,D06,B16,S1,V1
P091,D06,B11,S1,V1
P093,D06,B13,S1,V2
P088,D06,B08,S1,V2
P087,D06,B07,S1,V2
P095,D06,B15,S1,V2
P094,D06,B14,S1,V3
P090,D06,B10,S1,V3
P085,D06,B05,S1,V3
P081,D06,B01,S1,V3
P084,D06,B04,S1,V4
P082,D06,B02,S1,V4
P092,D06,B12,S1,V4
P089,D06,B09,S1,V4
P102,D07,B06,S1,V1
P105,D07,B09,S1,V1
P100,D07,B04,S1,V1
P099,D07,B03,S1,V1
P107,D07,B11,S1,V2
P097,D07,B01,S1,V2
P103,D07,B07,S1,V2
P106,D07,B10,S1,V2
P108,D07,B12,S1,V3
P112,D07,B16,S1,V3
P109,D07,B13,S1,V3
P104,D07,B08,S1,V3
P101,D07,B05,S1,V4
P111,D07,B15,S1,V4
P110,D07,B14,S1,V4
P098,D07,B02,S1,V4
P118,D08,B06,S1,V1
P120,D08,B08,S1,V1
P122,D08,B10,S1,V1
P114,D08,B02,S1,V1
P124,D08,B12,S1,V2
P117,D08,B05,S1,V2
P116,D08,B04,S1,V2
P128,D08,B16,S1,V2
P121,D08,B09,S1,V3
P119,D08,B07,S1,V3
P113,D08,B01,S1,V3
P125,D08,B13,S1,V3
P115,D08,B03,S1,V4
P127,D08,B15,S1,V4
P126,D08,B14,S1,V4
P123,D08,B11,S1,V4
P129,D09,B01,S1,V1
